feature,category,n_distinct,marginal_entropy_bits
fp2_webgl,hardware/GPU,4955,8.8312
jsFonts,OS/fonts,11180,8.033
gpu,hardware/GPU,2047,7.3126
agent,browser,4414,6.9875
canvastest,hardware/GPU,2186,6.5785
language,locale,1902,4.9232
hybridaudio,hardware/audio,2838,3.8606
osversion,OS,121,3.7238
browserversion,browser,318,3.3973
browser,browser,42,2.8091
fp2_platform,OS,16,2.513
fp2_pixelratio,hardware/screen,330,2.358
cpucores,hardware/CPU,15,2.0049
os,OS,11,1.7401
timezone,locale,36,1.6184
doNotTrack,browser,5,1.2933
encoding,browser,17,1.2727
fp2_colordepth,hardware/screen,5,0.9485
