feature_i,feature_j,interaction_bits,type
fp2_webgl,gpu,-2.5783,redundancy
jsFonts,fp2_webgl,-1.4774,redundancy
fp2_webgl,canvastest,-1.3382,redundancy
fp2_webgl,agent,-1.313,redundancy
canvastest,agent,-1.2652,redundancy
jsFonts,gpu,-1.2165,redundancy
jsFonts,canvastest,-1.1447,redundancy
jsFonts,agent,-1.0771,redundancy
canvastest,gpu,-0.981,redundancy
jsFonts,language,-0.9591,redundancy
agent,gpu,-0.9034,redundancy
fp2_webgl,language,-0.7455,redundancy
agent,language,-0.7015,redundancy
jsFonts,hybridaudio,-0.651,redundancy
canvastest,language,-0.5967,redundancy
gpu,language,-0.5379,redundancy
fp2_webgl,hybridaudio,-0.5268,redundancy
hybridaudio,agent,-0.4481,redundancy
canvastest,hybridaudio,-0.4403,redundancy
language,timezone,-0.3978,redundancy
hybridaudio,gpu,-0.3822,redundancy
agent,fp2_pixelratio,-0.3655,redundancy
jsFonts,fp2_pixelratio,-0.3611,redundancy
fp2_webgl,fp2_pixelratio,-0.3605,redundancy
jsFonts,timezone,-0.3582,redundancy
hybridaudio,language,-0.3557,redundancy
canvastest,fp2_pixelratio,-0.3284,redundancy
gpu,fp2_pixelratio,-0.3037,redundancy
agent,os,-0.2681,redundancy
jsFonts,os,-0.263,redundancy
fp2_webgl,os,-0.2628,redundancy
canvastest,os,-0.2624,redundancy
gpu,os,-0.251,redundancy
fp2_webgl,timezone,-0.2129,redundancy
language,fp2_pixelratio,-0.1975,redundancy
gpu,timezone,-0.1583,redundancy
language,os,-0.1575,redundancy
agent,timezone,-0.1463,redundancy
canvastest,timezone,-0.1396,redundancy
hybridaudio,os,-0.1352,redundancy
fp2_pixelratio,os,-0.1244,redundancy
hybridaudio,fp2_pixelratio,-0.1226,redundancy
hybridaudio,timezone,-0.1039,redundancy
fp2_pixelratio,timezone,-0.0457,independent
timezone,os,-0.0156,independent
