feature,shapley_bits
jsFonts,1.325488350256988
fp2_webgl,1.0484756008352103
agent,0.9991463808827412
ccaudio,0.99205763553953
gpuimgs,0.9207909119709509
hybridaudio,0.8963584747755511
gpu,0.889568138757693
language,0.8010231488563736
fp2_webglvendoe,0.7748290797761987
partgpu,0.7528374743089218
canvastest,0.7214173932247483
fp2_pixelratio,0.38940568203804665
osversion,0.3631246761486833
timezone,0.3574650967406381
langsdetected,0.32236474234214324
doNotTrack,0.26282052897723085
browserversion,0.252196027021018
cpucores,0.2429030213541515
browser,0.23924250183632198
fp2_platform,0.22706699967141228
device,0.2228012990958281
touchSupport,0.11040569703039681
os,0.1041839260791874
encoding,0.10205405180264605
fp2_colordepth,0.05972006865469106
