feature,category,shapley_bits,marginal_bits,shapley_minus_marginal,shapley_pct_of_total,ci_low,ci_high
jsFonts,OS/fonts,1.8913,8.033,-6.1417,13.38,1.6582,2.2677
fp2_webgl,hardware/GPU,1.7568,8.8312,-7.0743,12.43,1.5134,2.1659
gpu,hardware/GPU,1.5313,7.3126,-5.7813,10.83,1.2724,1.85
agent,browser,1.4468,6.9875,-5.5407,10.23,1.1228,1.5525
hybridaudio,hardware/audio,1.2477,3.8606,-2.6128,8.83,1.0503,1.2687
canvastest,hardware/GPU,1.2088,6.5785,-5.3697,8.55,0.9946,1.3822
language,locale,1.1853,4.9232,-3.738,8.38,1.0051,1.3048
fp2_pixelratio,hardware/screen,0.6212,2.358,-1.7368,4.39,0.4997,0.6741
osversion,OS,0.6096,3.7238,-3.1141,4.31,0.4776,0.7062
cpucores,hardware/CPU,0.4264,2.0049,-1.5785,3.02,0.288,0.459
timezone,locale,0.42,1.6184,-1.1985,2.97,0.3447,0.4845
doNotTrack,browser,0.4078,1.2933,-0.8855,2.88,0.3547,0.4584
browserversion,browser,0.3996,3.3973,-2.9977,2.83,0.3392,0.5374
fp2_platform,OS,0.2883,2.513,-2.2247,2.04,0.2114,0.377
browser,browser,0.2848,2.8091,-2.5243,2.01,0.2074,0.3939
os,OS,0.1695,1.7401,-1.5706,1.2,0.0925,0.2058
encoding,browser,0.1528,1.2727,-1.1199,1.08,0.0854,0.2006
fp2_colordepth,hardware/screen,0.089,0.9485,-0.8595,0.63,0.0602,0.1214
