feature,category,n_distinct,marginal_entropy_bits
fp2_webgl,hardware/GPU,8040,8.9829
jsFonts,OS/fonts,26250,8.3955
gpu,hardware/GPU,3031,7.3585
agent,browser,8258,7.0148
canvastest,hardware/GPU,4003,6.6242
language,locale,3757,4.9087
hybridaudio,hardware/audio,4880,3.8727
osversion,OS,132,3.7103
browserversion,browser,470,3.3928
browser,browser,48,2.8089
fp2_platform,OS,20,2.515
fp2_pixelratio,hardware/screen,620,2.3639
cpucores,hardware/CPU,20,1.9956
os,OS,16,1.748
timezone,locale,36,1.5945
doNotTrack,browser,5,1.3206
encoding,browser,21,1.2506
fp2_colordepth,hardware/screen,5,0.9236
