feature_i,feature_j,interaction_bits,type
fp2_webgl,gpu,-2.7644,redundancy
jsFonts,fp2_webgl,-1.4902,redundancy
fp2_webgl,canvastest,-1.3374,redundancy
fp2_webgl,agent,-1.3363,redundancy
canvastest,agent,-1.2925,redundancy
jsFonts,gpu,-1.2064,redundancy
jsFonts,canvastest,-1.1811,redundancy
jsFonts,agent,-1.1072,redundancy
jsFonts,language,-0.9936,redundancy
canvastest,gpu,-0.958,redundancy
agent,gpu,-0.8771,redundancy
fp2_webgl,language,-0.723,redundancy
agent,language,-0.6928,redundancy
jsFonts,hybridaudio,-0.6538,redundancy
canvastest,language,-0.5875,redundancy
fp2_webgl,hybridaudio,-0.5148,redundancy
gpu,language,-0.5069,redundancy
hybridaudio,agent,-0.447,redundancy
canvastest,hybridaudio,-0.4351,redundancy
language,timezone,-0.4208,redundancy
jsFonts,timezone,-0.3691,redundancy
jsFonts,fp2_pixelratio,-0.3677,redundancy
hybridaudio,gpu,-0.361,redundancy
agent,fp2_pixelratio,-0.3577,redundancy
hybridaudio,language,-0.3488,redundancy
fp2_webgl,fp2_pixelratio,-0.3409,redundancy
canvastest,fp2_pixelratio,-0.3393,redundancy
gpu,fp2_pixelratio,-0.294,redundancy
agent,os,-0.272,redundancy
fp2_webgl,os,-0.2653,redundancy
jsFonts,os,-0.265,redundancy
canvastest,os,-0.2645,redundancy
gpu,os,-0.2514,redundancy
language,fp2_pixelratio,-0.1926,redundancy
fp2_webgl,timezone,-0.1901,redundancy
language,os,-0.1542,redundancy
gpu,timezone,-0.1391,redundancy
hybridaudio,os,-0.1365,redundancy
agent,timezone,-0.1344,redundancy
canvastest,timezone,-0.1298,redundancy
fp2_pixelratio,os,-0.1238,redundancy
hybridaudio,fp2_pixelratio,-0.12,redundancy
hybridaudio,timezone,-0.0974,redundancy
fp2_pixelratio,timezone,-0.0444,independent
timezone,os,-0.0155,independent
