feature,category,shapley_bits,marginal_bits,shapley_minus_marginal,shapley_pct_of_total
jsFonts,OS/fonts,2.2313,8.3955,-6.1642,14.82
fp2_webgl,hardware/GPU,1.901,8.9829,-7.082,12.62
agent,browser,1.6156,7.0148,-5.3992,10.73
gpu,hardware/GPU,1.5902,7.3585,-5.7683,10.56
hybridaudio,hardware/audio,1.3252,3.8727,-2.5475,8.8
language,locale,1.2062,4.9087,-3.7025,8.01
canvastest,hardware/GPU,1.2017,6.6242,-5.4225,7.98
fp2_pixelratio,hardware/screen,0.6514,2.3639,-1.7125,4.33
osversion,OS,0.6102,3.7103,-3.1001,4.05
timezone,locale,0.4595,1.5945,-1.135,3.05
doNotTrack,browser,0.4333,1.3206,-0.8873,2.88
cpucores,hardware/CPU,0.4313,1.9956,-1.5642,2.86
browserversion,browser,0.4027,3.3928,-2.9902,2.67
browser,browser,0.3097,2.8089,-2.4992,2.06
fp2_platform,OS,0.283,2.515,-2.232,1.88
os,OS,0.1708,1.748,-1.5773,1.13
encoding,browser,0.1552,1.2506,-1.0954,1.03
fp2_colordepth,hardware/screen,0.0816,0.9236,-0.842,0.54
